TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
VIPdb,VIP,TEST_OBJECT,BASE TABLE
VIPdb,VIP,TEST_VERSION,BASE TABLE
VIPdb,VIP,TEST_OBJECT_VALUE,BASE TABLE
VIPdb,VIP,TEST_OBJECT_VALUE_LINK,BASE TABLE
VIPdb,VIP,TEST_OBJECT_CONSTRAINT,BASE TABLE
VIPdb,VIP,TEST_CATEGORY,BASE TABLE
VIPdb,VIP,TEST_GROUP,BASE TABLE
VIPdb,VIP,TEST_CATEGORY_TEST,BASE TABLE
VIPdb,dbo,VersionInfo,BASE TABLE
VIPdb,dbo,Users,BASE TABLE
VIPdb,dbo,Languages,BASE TABLE
VIPdb,dbo,UserPermissions,BASE TABLE
VIPdb,VIP,TEST_LINK,BASE TABLE
VIPdb,dbo,Roles,BASE TABLE
VIPdb,dbo,RolePermissions,BASE TABLE
VIPdb,dbo,UserRoles,BASE TABLE
VIPdb,dbo,UserPreferences,BASE TABLE
VIPdb,dbo,Exceptions,BASE TABLE
VIPdb,dbo,sysdiagrams,BASE TABLE
VIPdb,dbo,BusinessUnits,BASE TABLE
VIPdb,VIP,TEST_RUN,BASE TABLE
VIPdb,dbo,Contacts,BASE TABLE
VIPdb,VIP,TEST_JOB,BASE TABLE
VIPdb,VIP,TEST_DETAIL_TFS,BASE TABLE
VIPdb,VIP,TEST_PROJECT,BASE TABLE
VIPdb,VIP,TEST_DETAIL,BASE TABLE
VIPdb,VIP,TEST_GROUP_PARAMETER,BASE TABLE
VIPdb,VIP,TEST_GROUP_TEST,BASE TABLE
VIPdb,VIP,TEST_JOB_PARAMETER,BASE TABLE
VIPdb,VIP,TEST_PARAMETER,BASE TABLE
VIPdb,VIP,TEST_PARAMETER_CONSTRAINT,BASE TABLE
VIPdb,VIP,TEST_RUN_PARAMETER,BASE TABLE
VIPdb,VIP,TEST_RUN_RESULT,BASE TABLE
VIPdb,VIP,TEST_EXPECTED,BASE TABLE
VIPdb,VIP,TEST_RUN_ACTUAL,BASE TABLE
